title, gender, creator, genre, firstAppearance, species, birthDate, birthYear, deathDate, deathYear, deathCause, ethnicity, religion, nationality, country, region
Alec Trevelyan, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Alectryon (mythology), NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Alejandro Sosa, NA, Oliver Stone, NA, 1983, NA, NA, NA, NA, NA, NA, NA, NA, NA
Aleksander Lukin, NA, Ed Brubaker and Steve Epting, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Aleksandra Billewiczówna, NA, Henryk Sienkiewicz, NA, The Deluge, NA, NA, NA, NA, NA, NA, NA, NA, NA
Aletes (son of Aegisthus), NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Alex (A Clockwork Orange), NA, Anthony Burgess, NA, A Clockwork Orange, NA, NA, NA, NA, NA, NA, NA, NA, NA
Alex Bell (Hollyoaks), NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Alex Blake (Criminal Minds), NA, Erica Messer, NA, The Silencer and 8x01 September 26 2012, NA, NA, NA, NA, NA, NA, NA, NA, NA
Alex Browning, NA, Jeffrey Reddick, NA, Final Destination, NA, NA, NA, NA, NA, NA, NA, NA, NA
Alex Cross, NA, James Patterson, NA, Along came a spider, NA, NA, NA, NA, NA, NA, NA, NA, NA
Alex Delaware, NA, Jonathan Kellerman, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Alex Devane, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Alex Drake, NA, NA, NA, Ashes to Ashes: Episode 1 series 1, NA, NA, NA, NA, NA, NA, NA, NA, NA
Alex Healy (EastEnders), NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Alex Karev, NA, Shonda Rhimes, NA, "A Hard Days Night" and 1x01 March 27 2005, NA, NA, NA, NA, NA, NA, NA, NA, NA
Alex Kelly (The O.C.), NA, Josh Schwartz, NA, The New Kids on the Block and (episode 2.03), NA, NA, NA, NA, NA, NA, NA, NA, NA
Alex Kirby (Blue Heelers), NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Alex Krycek, NA, Chris Carter (screenwriter) and Howard Gordon, NA, Sleepless, NA, NA, NA, NA, NA, NA, NA, NA, NA
Alex Marshall (Days of Our Lives), NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Alex Olanov, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Alex P. Keaton, NA, Gary David Goldberg, NA, Pilot and (episode 1.01), NA, NA, NA, NA, NA, NA, NA, NA, NA
Alex Parrish, NA, Joshua Safran, NA, Pilot (Run) (2015), NA, NA, NA, NA, NA, NA, NA, NA, NA
Alex Poulos, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Alex Power, NA, Louise Simonson and June Brigman, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
